"Kod";"Nazwa";"lasy ogółem;2024;[ha]";
0200000;"DOLNOŚLĄSKIE";598542,00;
0400000;"KUJAWSKO-POMORSKIE";422039,88;
0600000;"LUBELSKIE";589452,06;
0800000;"LUBUSKIE";692156,48;
1000000;"ŁÓDZKIE";390691,83;
1200000;"MAŁOPOLSKIE";434367,76;
1400000;"MAZOWIECKIE";831888,41;
1600000;"OPOLSKIE";251588,33;
1800000;"PODKARPACKIE";685594,97;
2000000;"PODLASKIE";631647,13;
2200000;"POMORSKIE";669074,14;
2400000;"ŚLĄSKIE";395940,78;
2600000;"ŚWIĘTOKRZYSKIE";331168,68;
2800000;"WARMIŃSKO-MAZURSKIE";771194,36;
3000000;"WIELKOPOLSKIE";770519,54;
3200000;"ZACHODNIOPOMORSKIE";823175,31;
